Date,Time,Opponent,Promostion,Price
3/31/16,7:15 PM,Athletics,Mystery Promo Item,10
4/1/16,7:15 PM,Athletics,Mystery Promo Item,10
4/7/16,1:35 PM,Dodgers,Opening Day Calendar,85
4/8/16,7:15 PM,Dodgers,Opening Night Fireworks,33
4/9/16,1:05 PM,Dodgers,Beat LA Flag,49
4/10/16,1:05 PM,Dodgers,Madison Bumgarner Cap,33
4/18/16,7:15 PM,Diamondbacks,,10
4/19/16,7:15 PM,Diamondbacks,,10
4/20/16,7:15 PM,Diamondbacks,,10
4/21/16,12:45 PM,Diamondbacks,,17
4/22/16,7:15 PM,Marlins,Two Flaps Down Cap,10
4/23/16,6:05 PM,Marlins,Matt Duffy Bobblehead,33
4/24/16,1:05 PM,Marlins,Joe Panik Backpack,33
4/25/16,7:15 PM,Padres,,10
4/26/16,7:15 PM,Padres,,10
4/27/16,12:45 PM,Padres,,17
5/5/16,7:15 PM,Rockies,,10
5/6/16,7:15 PM,Rockies,,17
5/7/16,1:05 PM,Rockies,Brandon Crawford Bobblehead,33
5/8/16,1:05 PM,Rockies,Mother's Day Quilted Tote Bag,33
5/9/16,7:15 PM,Blue Jays,,10
5/10/16,7:15 PM,Blue Jays,,10
5/11/16,12:45 PM,Blue Jays,,17
5/20/16,7:15 PM,Cubs,,17
5/21/16,4:15 PM,Cubs,MLB Playball Weekend,33
5/22/16,5:05 PM,Cubs,Buster Posey Kids Hamper,33
5/23/16,7:15 PM,Padres,,10
5/24/16,7:15 PM,Padres,,10
5/25/16,12:45 PM,Padres,,17
6/7/16,7:15 PM,Red Sox,,49
6/8/16,7:15 PM,Red Sox,,49
6/10/16,7:15 PM,Dodgers,Orange Friday Rally Rags,33
6/11/16,4:15 PM,Dodgers,1986 Giants Team Reunion,49
6/12/16,5:30 PM,Dodgers,Vintage Grey Cap,33
6/13/16,7:15 PM,Brewers,,10
6/14/16,7:15 PM,Brewers,,17
6/15/16,12:45 PM,Brewers,,33
6/24/16,7:15 PM,Phillies,Fireworks Night,17
6/25/16,7:05 PM,Phillies,Madison Bumgarner Bobblehead,33
6/26/16,12:45 PM,Phillies,Giants LED Watch,33
6/27/16,7:15 PM,Athletics,,33
6/28/16,7:15 PM,Athletics,,33
7/4/16,1:05 PM,Rockies,,49
7/5/16,7:15 PM,Rockies,,17
7/6/16,7:15 PM,Rockies,,17
7/8/16,7:15 PM,Diamondbacks,,17
7/9/16,1:05 PM,Diamondbacks,Giants Player T-Shirt,33
7/10/16,5:00 PM,Diamondbacks,Hello Kitty Day,33
7/25/16,7:15 PM,Reds,,17
7/26/16,7:15 PM,Reds,,17
7/27/16,12:45 PM,Reds,Giants Slumber Party,33
7/28/16,7:15 PM,Nationals,,17
7/29/16,7:15 PM,Nationals,,17
7/30/16,1:05 PM,Nationals,Buster Hugs Mug,33
7/31/16,1:05 PM,Nationals,Bruce Bochy Gnome,33
8/12/16,7:15 PM,Orioles,,17
8/13/16,6:05 PM,Orioles,Gaylord Perry Statue Dedication,49
8/14/16,1:05 PM,Orioles,Hunter Pence Solar Bobblebody,33
8/15/16,7:15 PM,Pirates,,17
8/16/16,7:15 PM,Pirates,,17
8/17/16,12:45 PM,Pirates,,33
8/18/16,7:15 PM,Mets,,17
8/19/16,7:15 PM,Mets,,33
8/20/16,1:05 PM,Mets,Virgin America 2-for-1 Flight Voucher,49
8/21/16,1:05 PM,Mets,Reusable Grocery Tote,33
8/26/16,7:15 PM,Braves,,17
8/27/16,6:05 PM,Braves,Sergio Romo Portable Speakers,33
8/28/16,1:05 PM,Braves,Mike Krukow Bobblehead,33
8/30/16,7:15 PM,Diamondbacks,Fiesta Gigantes,10
8/31/16,12:45 PM,Diamondbacks,,17
9/12/16,7:15 PM,Padres,,10
9/13/16,7:15 PM,Padres,,10
9/14/16,12:45 PM,Padres,,17
9/15/16,7:15 PM,Cardinals,,17
9/16/16,7:15 PM,Cardinals,,17
9/17/16,6:05 PM,Cardinals,Fiesta Gigantes,33
9/18/16,1:05 PM,Cardinals,,33
9/27/16,7:15 PM,Rockies,,10
9/28/16,7:15 PM,Rockies,,10
9/29/16,7:15 PM,Rockies,,10
9/30/16,7:15 PM,Dodgers,Willie Mac Award,33
10/1/16,1:05 PM,Dodgers,Star Wars Day,49
10/2/16,12:05 PM,Dodgers,Fan Appreciation Day,33